utc_timestamp;ES_load_actual_entsoe_transparency;NO_load_actual_entsoe_transparency
2014-12-31T23:00:00Z;;
2015-01-01T00:00:00Z;;
2015-01-01T01:00:00Z;22734.0;15104.99
2015-01-01T02:00:00Z;21286.0;14882.56
2015-01-01T03:00:00Z;20264.0;14755.09
2015-01-01T04:00:00Z;19905.0;14903.03
2015-01-01T05:00:00Z;20010.0;15130.74
2015-01-01T06:00:00Z;20377.0;15414.52
2015-01-01T07:00:00Z;20094.0;15567.09
2015-01-01T08:00:00Z;20637.0;15852.32
2015-01-01T09:00:00Z;22250.0;16041.44
2015-01-01T10:00:00Z;23547.0;16262.85
2015-01-01T11:00:00Z;24133.0;16628.18
2015-01-01T12:00:00Z;24713.0;16826.51
2015-01-01T13:00:00Z;24672.0;16894.94
2015-01-01T14:00:00Z;23528.0;17203.71
2015-01-01T15:00:00Z;23118.0;17483.48
2015-01-01T16:00:00Z;23606.0;17221.79
2015-01-01T17:00:00Z;26447.0;17014.37
2015-01-01T18:00:00Z;28020.0;16826.73
2015-01-01T19:00:00Z;29014.0;16535.64
2015-01-01T20:00:00Z;29571.0;16274.93
2015-01-01T21:00:00Z;29031.0;15769.52
2015-01-01T22:00:00Z;26798.0;15194.49
2015-01-01T23:00:00Z;24298.0;14681.08
2015-01-02T00:00:00Z;21881.0;14289.64
2015-01-02T01:00:00Z;20495.0;14119.56
2015-01-02T02:00:00Z;19730.0;13966.28
2015-01-02T03:00:00Z;19500.0;14023.02
2015-01-02T04:00:00Z;20113.0;14464.79
2015-01-02T05:00:00Z;22153.0;15195.3
2015-01-02T06:00:00Z;;16243.79
2015-01-02T07:00:00Z;;17084.02
2015-01-02T08:00:00Z;;17377.06
2015-01-02T09:00:00Z;32383.0;17721.6
2015-01-02T10:00:00Z;32358.0;17850.66
2015-01-02T11:00:00Z;;17973.36
2015-01-02T12:00:00Z;;17857.49
2015-01-02T13:00:00Z;;18009.39
2015-01-02T14:00:00Z;;18175.22
2015-01-02T15:00:00Z;;18417.01
2015-01-02T16:00:00Z;;18334.78
2015-01-02T17:00:00Z;;18172.61
2015-01-02T18:00:00Z;;18061.35
2015-01-02T19:00:00Z;33955.0;17734.67
2015-01-02T20:00:00Z;33851.0;17169.11
2015-01-02T21:00:00Z;32324.0;16700.87
2015-01-02T22:00:00Z;29866.0;16164.04
2015-01-02T23:00:00Z;27243.0;15758.28
2015-01-03T00:00:00Z;24723.0;15414.33
2015-01-03T01:00:00Z;22861.0;15217.85
2015-01-03T02:00:00Z;21963.0;15166.04
2015-01-03T03:00:00Z;21540.0;15161.66
2015-01-03T04:00:00Z;21642.0;15242.05
2015-01-03T05:00:00Z;22434.0;15556.27
2015-01-03T06:00:00Z;23787.0;15927.65
2015-01-03T07:00:00Z;25305.0;16506.57
2015-01-03T08:00:00Z;27745.0;17247.61
2015-01-03T09:00:00Z;30101.0;17826.44
2015-01-03T10:00:00Z;30495.0;18018.5
2015-01-03T11:00:00Z;29893.0;18065.65
2015-01-03T12:00:00Z;29659.0;17926.31
2015-01-03T13:00:00Z;29268.0;17935.58
2015-01-03T14:00:00Z;28375.0;18097.12
2015-01-03T15:00:00Z;27840.0;18551.68
2015-01-03T16:00:00Z;28102.0;18625.01
2015-01-03T17:00:00Z;30973.0;18639.21
2015-01-03T18:00:00Z;32130.0;18222.84
2015-01-03T19:00:00Z;32763.0;17775.82
2015-01-03T20:00:00Z;32875.0;17414.83
2015-01-03T21:00:00Z;31532.0;17149.16
2015-01-03T22:00:00Z;29366.0;16870.66
2015-01-03T23:00:00Z;26818.0;16208.36
2015-01-04T00:00:00Z;24299.0;15900.48
2015-01-04T01:00:00Z;22546.0;15641.33
2015-01-04T02:00:00Z;21480.0;15673.46
2015-01-04T03:00:00Z;20937.0;15650.68
2015-01-04T04:00:00Z;21035.0;15901.3
2015-01-04T05:00:00Z;21476.0;16195.51
2015-01-04T06:00:00Z;22289.0;16514.86
2015-01-04T07:00:00Z;22929.0;16854.59
2015-01-04T08:00:00Z;24754.0;17332.46
2015-01-04T09:00:00Z;27027.0;18092.09
2015-01-04T10:00:00Z;27933.0;18160.36
2015-01-04T11:00:00Z;27648.0;17960.89
2015-01-04T12:00:00Z;27873.0;17818.34
2015-01-04T13:00:00Z;27769.0;18036.82
2015-01-04T14:00:00Z;26825.0;18560.72
2015-01-04T15:00:00Z;26254.0;19142.08
2015-01-04T16:00:00Z;26508.0;19288.87
2015-01-04T17:00:00Z;29232.0;19142.38
2015-01-04T18:00:00Z;30623.0;19087.96
2015-01-04T19:00:00Z;31605.0;18740.43
2015-01-04T20:00:00Z;32040.0;18431.14
2015-01-04T21:00:00Z;31115.0;17957.87
2015-01-04T22:00:00Z;28916.0;17352.43
2015-01-04T23:00:00Z;26019.0;16702.46
2015-01-05T00:00:00Z;23591.0;16227.77
2015-01-05T01:00:00Z;22089.0;16189.38
2015-01-05T02:00:00Z;21350.0;16133.91
2015-01-05T03:00:00Z;21054.0;16306.49
2015-01-05T04:00:00Z;21533.0;16851.95
2015-01-05T05:00:00Z;23240.0;18212.13
2015-01-05T06:00:00Z;26141.0;20028.02
2015-01-05T07:00:00Z;28870.0;20770.81
2015-01-05T08:00:00Z;31473.0;20638.24
2015-01-05T09:00:00Z;32893.0;20656.22
2015-01-05T10:00:00Z;32741.0;20558.61
2015-01-05T11:00:00Z;31942.0;20311.99
2015-01-05T12:00:00Z;31779.0;20205.81
2015-01-05T13:00:00Z;30864.0;20253.94
2015-01-05T14:00:00Z;29742.0;20529.93
2015-01-05T15:00:00Z;29336.0;20658.93
2015-01-05T16:00:00Z;29469.0;20345.81
2015-01-05T17:00:00Z;30960.0;20067.48
2015-01-05T18:00:00Z;31097.0;19813.7
2015-01-05T19:00:00Z;31242.0;19544.58
2015-01-05T20:00:00Z;31443.0;19066.72
2015-01-05T21:00:00Z;30365.0;18344.3
2015-01-05T22:00:00Z;28635.0;17377.2
2015-01-05T23:00:00Z;26304.0;16671.34
2015-01-06T00:00:00Z;23940.0;16409.58
2015-01-06T01:00:00Z;22118.0;16186.48
2015-01-06T02:00:00Z;21015.0;16106.3
2015-01-06T03:00:00Z;20518.0;16317.53
2015-01-06T04:00:00Z;20478.0;16590.84
2015-01-06T05:00:00Z;20926.0;17706.47
2015-01-06T06:00:00Z;21676.0;19417.39
2015-01-06T07:00:00Z;22195.0;19772.59
2015-01-06T08:00:00Z;23806.0;19620.1
2015-01-06T09:00:00Z;25842.0;19591.17
2015-01-06T10:00:00Z;26754.0;19465.72
2015-01-06T11:00:00Z;26633.0;19566.39
2015-01-06T12:00:00Z;26664.0;19561.17
2015-01-06T13:00:00Z;26154.0;19553.08
2015-01-06T14:00:00Z;24866.0;19827.24
2015-01-06T15:00:00Z;24346.0;19934.13
2015-01-06T16:00:00Z;24812.0;19471.86
2015-01-06T17:00:00Z;27582.0;19119.63
