"# Renewables.ninja Wind (hourly data, split by on/offshore, 1980-2019) - ninja_wind_country_ES_long-termfuture-merra-2_corrected - Version: 1.3 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2019.08.068",
"# Units: time in UTC, other columns are capacity factors [0-1]. Simulation represents 43 MW of capacity, all of which offshore. Bias corrected using national generation data.",
time,national
1980-01-01 00:00:00,0.9163
1980-01-01 01:00:00,0.974
1980-01-01 02:00:00,0.9809
1980-01-01 03:00:00,0.9836
1980-01-01 04:00:00,0.9854
1980-01-01 05:00:00,0.9857
1980-01-01 06:00:00,0.9856
1980-01-01 07:00:00,0.9847
1980-01-01 08:00:00,0.9849
1980-01-01 09:00:00,0.9859
1980-01-01 10:00:00,0.987
1980-01-01 11:00:00,0.9873
1980-01-01 12:00:00,0.9864
1980-01-01 13:00:00,0.9861
1980-01-01 14:00:00,0.9859
1980-01-01 15:00:00,0.9853
1980-01-01 16:00:00,0.9829
1980-01-01 17:00:00,0.9841
1980-01-01 18:00:00,0.985
1980-01-01 19:00:00,0.9837
1980-01-01 20:00:00,0.9815
1980-01-01 21:00:00,0.9828
1980-01-01 22:00:00,0.981
1980-01-01 23:00:00,0.9804
1980-01-02 00:00:00,0.9803
1980-01-02 01:00:00,0.9784
1980-01-02 02:00:00,0.975
1980-01-02 03:00:00,0.9737
1980-01-02 04:00:00,0.9663
1980-01-02 05:00:00,0.9329
1980-01-02 06:00:00,0.8469
1980-01-02 07:00:00,0.767
1980-01-02 08:00:00,0.6646
1980-01-02 09:00:00,0.5149
1980-01-02 10:00:00,0.3394
1980-01-02 11:00:00,0.2054
1980-01-02 12:00:00,0.1271
1980-01-02 13:00:00,0.0858
1980-01-02 14:00:00,0.0642
1980-01-02 15:00:00,0.0865
1980-01-02 16:00:00,0.1304
1980-01-02 17:00:00,0.1389
1980-01-02 18:00:00,0.1266
1980-01-02 19:00:00,0.117
1980-01-02 20:00:00,0.1083
1980-01-02 21:00:00,0.0914
1980-01-02 22:00:00,0.0804
1980-01-02 23:00:00,0.0782
1980-01-03 00:00:00,0.0735
1980-01-03 01:00:00,0.0572
1980-01-03 02:00:00,0.0259
1980-01-03 03:00:00,0.0613
1980-01-03 04:00:00,0.0662
1980-01-03 05:00:00,0.0335
1980-01-03 06:00:00,0.0137
1980-01-03 07:00:00,0.0062
