"# Renewables.ninja Wind (hourly data, split by on/offshore, 1980-2019) - ninja_wind_country_ES_near-termfuture-merra-2_corrected - Version: 1.3 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2019.08.068",
"# Units: time in UTC, other columns are capacity factors [0-1]. Simulation represents 6 MW of capacity, all of which onshore. Bias corrected using national generation data.",
time,national
1980-01-01 00:00:00,0.5261
1980-01-01 01:00:00,0.4879
1980-01-01 02:00:00,0.4258
1980-01-01 03:00:00,0.3635
1980-01-01 04:00:00,0.3166
1980-01-01 05:00:00,0.3075
1980-01-01 06:00:00,0.3087
1980-01-01 07:00:00,0.2974
1980-01-01 08:00:00,0.2585
1980-01-01 09:00:00,0.194
1980-01-01 10:00:00,0.226
1980-01-01 11:00:00,0.3008
1980-01-01 12:00:00,0.3599
1980-01-01 13:00:00,0.384
1980-01-01 14:00:00,0.3695
1980-01-01 15:00:00,0.2941
1980-01-01 16:00:00,0.2339
1980-01-01 17:00:00,0.2512
1980-01-01 18:00:00,0.2712
1980-01-01 19:00:00,0.2532
1980-01-01 20:00:00,0.2299
1980-01-01 21:00:00,0.224
1980-01-01 22:00:00,0.2153
1980-01-01 23:00:00,0.194
1980-01-02 00:00:00,0.1713
1980-01-02 01:00:00,0.1606
1980-01-02 02:00:00,0.1316
1980-01-02 03:00:00,0.1021
1980-01-02 04:00:00,0.0676
1980-01-02 05:00:00,0.0404
1980-01-02 06:00:00,0.0214
1980-01-02 07:00:00,0.0109
1980-01-02 08:00:00,0.0109
1980-01-02 09:00:00,0.0089
1980-01-02 10:00:00,0.0064
1980-01-02 11:00:00,0.002
1980-01-02 12:00:00,0.0028
1980-01-02 13:00:00,0.0044
1980-01-02 14:00:00,0.0075
1980-01-02 15:00:00,0.0121
1980-01-02 16:00:00,0.0128
1980-01-02 17:00:00,0.0093
1980-01-02 18:00:00,0.0139
1980-01-02 19:00:00,0.0365
1980-01-02 20:00:00,0.0774
1980-01-02 21:00:00,0.117
1980-01-02 22:00:00,0.1511
1980-01-02 23:00:00,0.1688
1980-01-03 00:00:00,0.1606
1980-01-03 01:00:00,0.1434
1980-01-03 02:00:00,0.1294
1980-01-03 03:00:00,0.1367
1980-01-03 04:00:00,0.159
1980-01-03 05:00:00,0.1705
1980-01-03 06:00:00,0.1913
1980-01-03 07:00:00,0.226
1980-01-03 08:00:00,0.2481
1980-01-03 09:00:00,0.2163
1980-01-03 10:00:00,0.1799
1980-01-03 11:00:00,0.2299
1980-01-03 12:00:00,0.2532
1980-01-03 13:00:00,0.2471
1980-01-03 14:00:00,0.2319
1980-01-03 15:00:00,0.205
1980-01-03 16:00:00,0.2163
1980-01-03 17:00:00,0.2606
1980-01-03 18:00:00,0.2963
1980-01-03 19:00:00,0.3189
1980-01-03 20:00:00,0.3305
1980-01-03 21:00:00,0.3504
1980-01-03 22:00:00,0.3719
1980-01-03 23:00:00,0.4023
1980-01-04 00:00:00,0.4258
1980-01-04 01:00:00,0.4357
1980-01-04 02:00:00,0.4394
1980-01-04 03:00:00,0.4518
1980-01-04 04:00:00,0.585
1980-01-04 05:00:00,0.5967
1980-01-04 06:00:00,0.6106
1980-01-04 07:00:00,0.6476
1980-01-04 08:00:00,0.6753
1980-01-04 09:00:00,0.7267
1980-01-04 10:00:00,0.7115
1980-01-04 11:00:00,0.6118
1980-01-04 12:00:00,0.4221
1980-01-04 13:00:00,0.244
1980-01-04 14:00:00,0.119
1980-01-04 15:00:00,0.0856
1980-01-04 16:00:00,0.1183
1980-01-04 17:00:00,0.1756
1980-01-04 18:00:00,0.2543
1980-01-04 19:00:00,0.3064
1980-01-04 20:00:00,0.2659
1980-01-04 21:00:00,0.2289
1980-01-04 22:00:00,0.2864
1980-01-04 23:00:00,0.3755
1980-01-05 00:00:00,0.3901
1980-01-05 01:00:00,0.3623
1980-01-05 02:00:00,0.3422
1980-01-05 03:00:00,0.3282
1980-01-05 04:00:00,0.3008
1980-01-05 05:00:00,0.2853
1980-01-05 06:00:00,0.2471
1980-01-05 07:00:00,0.1931
1980-01-05 08:00:00,0.1203
1980-01-05 09:00:00,0.0711
1980-01-05 10:00:00,0.0381
1980-01-05 11:00:00,0.0139
1980-01-05 12:00:00,0.0031
1980-01-05 13:00:00,0.0036
1980-01-05 14:00:00,0.0193
1980-01-05 15:00:00,0.0585
1980-01-05 16:00:00,0.0833
1980-01-05 17:00:00,0.0691
1980-01-05 18:00:00,0.0441
1980-01-05 19:00:00,0.0254
1980-01-05 20:00:00,0.0116
1980-01-05 21:00:00,0.0039
1980-01-05 22:00:00,0.0034
1980-01-05 23:00:00,0.0136
1980-01-06 00:00:00,0.0324
1980-01-06 01:00:00,0.0441
1980-01-06 02:00:00,0.0526
1980-01-06 03:00:00,0.053
1980-01-06 04:00:00,0.0487
1980-01-06 05:00:00,0.05
1980-01-06 06:00:00,0.0571
1980-01-06 07:00:00,0.0661
1980-01-06 08:00:00,0.085
1980-01-06 09:00:00,0.1245
1980-01-06 10:00:00,0.1389
1980-01-06 11:00:00,0.1655
1980-01-06 12:00:00,0.1976
1980-01-06 13:00:00,0.227
1980-01-06 14:00:00,0.2399
1980-01-06 15:00:00,0.2627
1980-01-06 16:00:00,0.3042
1980-01-06 17:00:00,0.3599
1980-01-06 18:00:00,0.3683
1980-01-06 19:00:00,0.378
1980-01-06 20:00:00,0.3925
1980-01-06 21:00:00,0.3647
1980-01-06 22:00:00,0.3087
1980-01-06 23:00:00,0.3042
1980-01-07 00:00:00,0.2997
1980-01-07 01:00:00,0.2941
1980-01-07 02:00:00,0.2659
1980-01-07 03:00:00,0.2606
1980-01-07 04:00:00,0.2809
1980-01-07 05:00:00,0.2853
1980-01-07 06:00:00,0.303
1980-01-07 07:00:00,0.3516
1980-01-07 08:00:00,0.3492
1980-01-07 09:00:00,0.3328
1980-01-07 10:00:00,0.3938
1980-01-07 11:00:00,0.4692
1980-01-07 12:00:00,0.5261
1980-01-07 13:00:00,0.52
1980-01-07 14:00:00,0.5188
1980-01-07 15:00:00,0.52
1980-01-07 16:00:00,0.5163
1980-01-07 17:00:00,0.4879
1980-01-07 18:00:00,0.3623
1980-01-07 19:00:00,0.2616
1980-01-07 20:00:00,0.243
1980-01-07 21:00:00,0.1807
1980-01-07 22:00:00,0.1396
1980-01-07 23:00:00,0.1217
1980-01-08 00:00:00,0.0913
1980-01-08 01:00:00,0.0632
1980-01-08 02:00:00,0.0496
1980-01-08 03:00:00,0.0571
1980-01-08 04:00:00,0.0763
1980-01-08 05:00:00,0.0651
1980-01-08 06:00:00,0.0504
1980-01-08 07:00:00,0.0474
1980-01-08 08:00:00,0.0381
1980-01-08 09:00:00,0.0181
1980-01-08 10:00:00,0.0023
1980-01-08 11:00:00,0.0002
1980-01-08 12:00:00,0.0008
1980-01-08 13:00:00,0.0035
1980-01-08 14:00:00,0.0169
1980-01-08 15:00:00,0.0369
1980-01-08 16:00:00,0.0491
1980-01-08 17:00:00,0.0666
1980-01-08 18:00:00,0.1052
1980-01-08 19:00:00,0.1183
1980-01-08 20:00:00,0.1337
1980-01-08 21:00:00,0.1756
1980-01-08 22:00:00,0.2221
1980-01-08 23:00:00,0.224
1980-01-09 00:00:00,0.1958
1980-01-09 01:00:00,0.1868
1980-01-09 02:00:00,0.2013
1980-01-09 03:00:00,0.242
1980-01-09 04:00:00,0.2831
1980-01-09 05:00:00,0.3386
1980-01-09 06:00:00,0.4357
1980-01-09 07:00:00,0.427
1980-01-09 08:00:00,0.3925
1980-01-09 09:00:00,0.4085
1980-01-09 10:00:00,0.4245
1980-01-09 11:00:00,0.5708
1980-01-09 12:00:00,0.6794
1980-01-09 13:00:00,0.6987
1980-01-09 14:00:00,0.7248
1980-01-09 15:00:00,0.7066
1980-01-09 16:00:00,0.6866
1980-01-09 17:00:00,0.6835
1980-01-09 18:00:00,0.6276
1980-01-09 19:00:00,0.5661
1980-01-09 20:00:00,0.5359
1980-01-09 21:00:00,0.5027
1980-01-09 22:00:00,0.5249
1980-01-09 23:00:00,0.6072
1980-01-10 00:00:00,0.6866
1980-01-10 01:00:00,0.7239
1980-01-10 02:00:00,0.7257
1980-01-10 03:00:00,0.7134
1980-01-10 04:00:00,0.7085
1980-01-10 05:00:00,0.7313
1980-01-10 06:00:00,0.752
1980-01-10 07:00:00,0.7804
1980-01-10 08:00:00,0.796
1980-01-10 09:00:00,0.7891
1980-01-10 10:00:00,0.7907
1980-01-10 11:00:00,0.7891
1980-01-10 12:00:00,0.7756
1980-01-10 13:00:00,0.7682
1980-01-10 14:00:00,0.7386
1980-01-10 15:00:00,0.6732
1980-01-10 16:00:00,0.6186
1980-01-10 17:00:00,0.572
1980-01-10 18:00:00,0.5188
1980-01-10 19:00:00,0.4978
1980-01-10 20:00:00,0.5101
1980-01-10 21:00:00,0.5383
1980-01-10 22:00:00,0.5589
1980-01-10 23:00:00,0.5371
1980-01-11 00:00:00,0.4779
1980-01-11 01:00:00,0.432
1980-01-11 02:00:00,0.4109
1980-01-11 03:00:00,0.3816
1980-01-11 04:00:00,0.341
1980-01-11 05:00:00,0.3109
1980-01-11 06:00:00,0.2809
1980-01-11 07:00:00,0.2501
1980-01-11 08:00:00,0.205
1980-01-11 09:00:00,0.1411
1980-01-11 10:00:00,0.1647
1980-01-11 11:00:00,0.2669
1980-01-11 12:00:00,0.4394
1980-01-11 13:00:00,0.4891
1980-01-11 14:00:00,0.4531
1980-01-11 15:00:00,0.4556
1980-01-11 16:00:00,0.5286
1980-01-11 17:00:00,0.5601
1980-01-11 18:00:00,0.606
1980-01-11 19:00:00,0.6344
1980-01-11 20:00:00,0.6856
1980-01-11 21:00:00,0.7036
1980-01-11 22:00:00,0.7066
1980-01-11 23:00:00,0.7172
1980-01-12 00:00:00,0.7368
1980-01-12 01:00:00,0.7449
1980-01-12 02:00:00,0.7657
1980-01-12 03:00:00,0.8242
1980-01-12 04:00:00,0.8519
