utc_time;NOR
1979-01-01T00:00:00Z;0.232
1979-01-01T01:00:00Z;0.18
1979-01-01T02:00:00Z;0.161
1979-01-01T03:00:00Z;0.163
1979-01-01T04:00:00Z;0.168
1979-01-01T05:00:00Z;0.178
1979-01-01T06:00:00Z;0.209
1979-01-01T07:00:00Z;0.215
1979-01-01T08:00:00Z;0.209
1979-01-01T09:00:00Z;0.185
1979-01-01T10:00:00Z;0.161
1979-01-01T11:00:00Z;0.133
1979-01-01T12:00:00Z;0.169
1979-01-01T13:00:00Z;0.121
1979-01-01T14:00:00Z;0.104
1979-01-01T15:00:00Z;0.119
1979-01-01T16:00:00Z;0.129
1979-01-01T17:00:00Z;0.129
1979-01-01T18:00:00Z;0.06
1979-01-01T19:00:00Z;0.082
1979-01-01T20:00:00Z;0.123
1979-01-01T21:00:00Z;0.143
1979-01-01T22:00:00Z;0.156
1979-01-01T23:00:00Z;0.152
1979-01-02T00:00:00Z;0.05
1979-01-02T01:00:00Z;0.047
1979-01-02T02:00:00Z;0.061
1979-01-02T03:00:00Z;0.106
1979-01-02T04:00:00Z;0.178
1979-01-02T05:00:00Z;0.256
1979-01-02T06:00:00Z;0.379
1979-01-02T07:00:00Z;0.421
1979-01-02T08:00:00Z;0.431
1979-01-02T09:00:00Z;0.42
1979-01-02T10:00:00Z;0.416
1979-01-02T11:00:00Z;0.419
1979-01-02T12:00:00Z;0.174
1979-01-02T13:00:00Z;0.168
1979-01-02T14:00:00Z;0.161
1979-01-02T15:00:00Z;0.118
1979-01-02T16:00:00Z;0.095
1979-01-02T17:00:00Z;0.091
1979-01-02T18:00:00Z;0.131
1979-01-02T19:00:00Z;0.136
1979-01-02T20:00:00Z;0.131
1979-01-02T21:00:00Z;0.097
1979-01-02T22:00:00Z;0.071
1979-01-02T23:00:00Z;0.058
1979-01-03T00:00:00Z;0.129
1979-01-03T01:00:00Z;0.189
1979-01-03T02:00:00Z;0.245
1979-01-03T03:00:00Z;0.312
1979-01-03T04:00:00Z;0.391
1979-01-03T05:00:00Z;0.487
1979-01-03T06:00:00Z;0.627
1979-01-03T07:00:00Z;0.707
1979-01-03T08:00:00Z;0.776
1979-01-03T09:00:00Z;0.825
1979-01-03T10:00:00Z;0.872
1979-01-03T11:00:00Z;0.9
1979-01-03T12:00:00Z;0.885
1979-01-03T13:00:00Z;0.899
1979-01-03T14:00:00Z;0.912
1979-01-03T15:00:00Z;0.932
1979-01-03T16:00:00Z;0.948
1979-01-03T17:00:00Z;0.959
1979-01-03T18:00:00Z;0.965
1979-01-03T19:00:00Z;0.967
1979-01-03T20:00:00Z;0.969
1979-01-03T21:00:00Z;0.972
1979-01-03T22:00:00Z;0.973
1979-01-03T23:00:00Z;0.973
1979-01-04T00:00:00Z;0.977
1979-01-04T01:00:00Z;0.976
1979-01-04T02:00:00Z;0.974
1979-01-04T03:00:00Z;0.974
1979-01-04T04:00:00Z;0.974
1979-01-04T05:00:00Z;0.973
1979-01-04T06:00:00Z;0.977
1979-01-04T07:00:00Z;0.975
1979-01-04T08:00:00Z;0.97
1979-01-04T09:00:00Z;0.964
1979-01-04T10:00:00Z;0.958
1979-01-04T11:00:00Z;0.952
1979-01-04T12:00:00Z;0.944
1979-01-04T13:00:00Z;0.945
1979-01-04T14:00:00Z;0.936
1979-01-04T15:00:00Z;0.928
1979-01-04T16:00:00Z;0.933
1979-01-04T17:00:00Z;0.949
1979-01-04T18:00:00Z;0.971
1979-01-04T19:00:00Z;0.975
1979-01-04T20:00:00Z;0.976
1979-01-04T21:00:00Z;0.973
1979-01-04T22:00:00Z;0.958
1979-01-04T23:00:00Z;0.87
1979-01-05T00:00:00Z;0.741
1979-01-05T01:00:00Z;0.775
1979-01-05T02:00:00Z;0.812
1979-01-05T03:00:00Z;0.795
1979-01-05T04:00:00Z;0.774
1979-01-05T05:00:00Z;0.756
1979-01-05T06:00:00Z;0.79
1979-01-05T07:00:00Z;0.747
1979-01-05T08:00:00Z;0.773
1979-01-05T09:00:00Z;0.802
1979-01-05T10:00:00Z;0.823
1979-01-05T11:00:00Z;0.81
1979-01-05T12:00:00Z;0.898
1979-01-05T13:00:00Z;0.783
1979-01-05T14:00:00Z;0.679
1979-01-05T15:00:00Z;0.626
1979-01-05T16:00:00Z;0.577
1979-01-05T17:00:00Z;0.561
1979-01-05T18:00:00Z;0.737
1979-01-05T19:00:00Z;0.718
1979-01-05T20:00:00Z;0.777
1979-01-05T21:00:00Z;0.839
1979-01-05T22:00:00Z;0.889
1979-01-05T23:00:00Z;0.918
1979-01-06T00:00:00Z;0.935
1979-01-06T01:00:00Z;0.961
1979-01-06T02:00:00Z;0.975
1979-01-06T03:00:00Z;0.977
1979-01-06T04:00:00Z;0.974
1979-01-06T05:00:00Z;0.973
1979-01-06T06:00:00Z;0.977
1979-01-06T07:00:00Z;0.923
1979-01-06T08:00:00Z;0.75
1979-01-06T09:00:00Z;0.691
1979-01-06T10:00:00Z;0.667
1979-01-06T11:00:00Z;0.68
1979-01-06T12:00:00Z;0.821
