utc_time;NOR;ESP
1979-01-01T00:00:00Z;0.468;0.639
1979-01-01T01:00:00Z;0.431;0.628
1979-01-01T02:00:00Z;0.395;0.63
1979-01-01T03:00:00Z;0.384;0.63
1979-01-01T04:00:00Z;0.383;0.626
1979-01-01T05:00:00Z;0.392;0.619
1979-01-01T06:00:00Z;0.312;0.612
1979-01-01T07:00:00Z;0.318;0.572
1979-01-01T08:00:00Z;0.318;0.545
1979-01-01T09:00:00Z;0.305;0.543
1979-01-01T10:00:00Z;0.293;0.535
1979-01-01T11:00:00Z;0.276;0.525
1979-01-01T12:00:00Z;0.281;0.537
1979-01-01T13:00:00Z;0.239;0.528
1979-01-01T14:00:00Z;0.216;0.505
1979-01-01T15:00:00Z;0.206;0.444
1979-01-01T16:00:00Z;0.202;0.381
1979-01-01T17:00:00Z;0.204;0.355
1979-01-01T18:00:00Z;0.273;0.385
1979-01-01T19:00:00Z;0.272;0.334
1979-01-01T20:00:00Z;0.279;0.288
1979-01-01T21:00:00Z;0.283;0.256
1979-01-01T22:00:00Z;0.295;0.231
1979-01-01T23:00:00Z;0.306;0.225
1979-01-02T00:00:00Z;0.28;0.241
1979-01-02T01:00:00Z;0.275;0.23
1979-01-02T02:00:00Z;0.257;0.238
1979-01-02T03:00:00Z;0.242;0.241
1979-01-02T04:00:00Z;0.246;0.242
1979-01-02T05:00:00Z;0.257;0.246
1979-01-02T06:00:00Z;0.273;0.27
1979-01-02T07:00:00Z;0.257;0.261
1979-01-02T08:00:00Z;0.23;0.242
1979-01-02T09:00:00Z;0.201;0.232
1979-01-02T10:00:00Z;0.19;0.222
1979-01-02T11:00:00Z;0.193;0.211
1979-01-02T12:00:00Z;0.179;0.217
1979-01-02T13:00:00Z;0.161;0.172
1979-01-02T14:00:00Z;0.139;0.138
1979-01-02T15:00:00Z;0.141;0.093
1979-01-02T16:00:00Z;0.157;0.078
1979-01-02T17:00:00Z;0.174;0.075
1979-01-02T18:00:00Z;0.184;0.064
1979-01-02T19:00:00Z;0.197;0.073
1979-01-02T20:00:00Z;0.195;0.09
1979-01-02T21:00:00Z;0.183;0.124
1979-01-02T22:00:00Z;0.182;0.155
1979-01-02T23:00:00Z;0.192;0.178
1979-01-03T00:00:00Z;0.168;0.183
1979-01-03T01:00:00Z;0.194;0.195
1979-01-03T02:00:00Z;0.206;0.241
1979-01-03T03:00:00Z;0.215;0.292
1979-01-03T04:00:00Z;0.231;0.342
1979-01-03T05:00:00Z;0.251;0.378
1979-01-03T06:00:00Z;0.2;0.47
1979-01-03T07:00:00Z;0.225;0.531
1979-01-03T08:00:00Z;0.254;0.588
1979-01-03T09:00:00Z;0.282;0.619
1979-01-03T10:00:00Z;0.303;0.637
1979-01-03T11:00:00Z;0.318;0.64
1979-01-03T12:00:00Z;0.327;0.632
1979-01-03T13:00:00Z;0.331;0.618
1979-01-03T14:00:00Z;0.346;0.601
1979-01-03T15:00:00Z;0.366;0.62
1979-01-03T16:00:00Z;0.387;0.623
1979-01-03T17:00:00Z;0.407;0.638
1979-01-03T18:00:00Z;0.36;0.623
1979-01-03T19:00:00Z;0.361;0.649
1979-01-03T20:00:00Z;0.359;0.657
1979-01-03T21:00:00Z;0.367;0.657
1979-01-03T22:00:00Z;0.375;0.654
1979-01-03T23:00:00Z;0.386;0.653
1979-01-04T00:00:00Z;0.423;0.633
1979-01-04T01:00:00Z;0.419;0.631
1979-01-04T02:00:00Z;0.411;0.631
1979-01-04T03:00:00Z;0.398;0.614
1979-01-04T04:00:00Z;0.395;0.604
1979-01-04T05:00:00Z;0.405;0.596
1979-01-04T06:00:00Z;0.395;0.61
1979-01-04T07:00:00Z;0.387;0.59
1979-01-04T08:00:00Z;0.37;0.582
1979-01-04T09:00:00Z;0.369;0.578
1979-01-04T10:00:00Z;0.363;0.598
1979-01-04T11:00:00Z;0.357;0.608
1979-01-04T12:00:00Z;0.369;0.606
1979-01-04T13:00:00Z;0.366;0.568
1979-01-04T14:00:00Z;0.372;0.495
1979-01-04T15:00:00Z;0.38;0.412
1979-01-04T16:00:00Z;0.388;0.36
1979-01-04T17:00:00Z;0.398;0.332
1979-01-04T18:00:00Z;0.396;0.311
1979-01-04T19:00:00Z;0.404;0.295
1979-01-04T20:00:00Z;0.426;0.302
1979-01-04T21:00:00Z;0.443;0.259
1979-01-04T22:00:00Z;0.462;0.213
1979-01-04T23:00:00Z;0.48;0.171
1979-01-05T00:00:00Z;0.489;0.161
1979-01-05T01:00:00Z;0.459;0.153
1979-01-05T02:00:00Z;0.452;0.157
1979-01-05T03:00:00Z;0.462;0.123
1979-01-05T04:00:00Z;0.475;0.108
1979-01-05T05:00:00Z;0.494;0.096
1979-01-05T06:00:00Z;0.442;0.086
1979-01-05T07:00:00Z;0.458;0.086
1979-01-05T08:00:00Z;0.467;0.093
1979-01-05T09:00:00Z;0.485;0.085
1979-01-05T10:00:00Z;0.487;0.087
1979-01-05T11:00:00Z;0.481;0.091
1979-01-05T12:00:00Z;0.468;0.114
1979-01-05T13:00:00Z;0.453;0.121
1979-01-05T14:00:00Z;0.456;0.121
1979-01-05T15:00:00Z;0.459;0.098
1979-01-05T16:00:00Z;0.458;0.094
1979-01-05T17:00:00Z;0.455;0.105
1979-01-05T18:00:00Z;0.463;0.122
1979-01-05T19:00:00Z;0.463;0.14
1979-01-05T20:00:00Z;0.468;0.155
1979-01-05T21:00:00Z;0.486;0.172
1979-01-05T22:00:00Z;0.522;0.194
1979-01-05T23:00:00Z;0.559;0.213
1979-01-06T00:00:00Z;0.525;0.27
1979-01-06T01:00:00Z;0.588;0.284
1979-01-06T02:00:00Z;0.644;0.272
1979-01-06T03:00:00Z;0.682;0.263
1979-01-06T04:00:00Z;0.707;0.266
1979-01-06T05:00:00Z;0.718;0.273
1979-01-06T06:00:00Z;0.725;0.288
1979-01-06T07:00:00Z;0.755;0.298
1979-01-06T08:00:00Z;0.789;0.326
1979-01-06T09:00:00Z;0.817;0.386
1979-01-06T10:00:00Z;0.837;0.429
1979-01-06T11:00:00Z;0.849;0.458
1979-01-06T12:00:00Z;0.796;0.466
1979-01-06T13:00:00Z;0.786;0.461
1979-01-06T14:00:00Z;0.778;0.458
1979-01-06T15:00:00Z;0.759;0.421
1979-01-06T16:00:00Z;0.743;0.401
1979-01-06T17:00:00Z;0.744;0.418
1979-01-06T18:00:00Z;0.727;0.428
1979-01-06T19:00:00Z;0.736;0.432
1979-01-06T20:00:00Z;0.734;0.429
1979-01-06T21:00:00Z;0.778;0.427
1979-01-06T22:00:00Z;0.818;0.434
1979-01-06T23:00:00Z;0.843;0.453
1979-01-07T00:00:00Z;0.837;0.468
1979-01-07T01:00:00Z;0.779;0.465
1979-01-07T02:00:00Z;0.683;0.441
1979-01-07T03:00:00Z;0.62;0.433
1979-01-07T04:00:00Z;0.563;0.433
1979-01-07T05:00:00Z;0.509;0.437
1979-01-07T06:00:00Z;0.517;0.413
1979-01-07T07:00:00Z;0.563;0.416
1979-01-07T08:00:00Z;0.625;0.427
1979-01-07T09:00:00Z;0.704;0.446
1979-01-07T10:00:00Z;0.758;0.457
