utc_timestamp,cet_cest_timestamp,ES_load_actual_entsoe_transparency,ES_load_forecast_entsoe_transparency,ES_solar_generation_actual,ES_wind_onshore_generation_actual,NO_load_actual_entsoe_transparency,NO_load_forecast_entsoe_transparency,NO_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,22734,23515,50,5461,15104.99,15104.75,479.4
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,21286,22642,50,5238,14882.56,14882.51,422.74
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,20264,21785,42,4935,14755.09,14755,408.35
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,19905,21441,34,4618,14903.03,14903,415.94
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,20010,21285,34,4397,15130.74,15129.76,378.65
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,20377,21545,35,3992,15414.52,15414.51,329.2
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,20094,21443,54,3629,15567.09,15567.5,328.49
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,20637,21560,743,3073,15852.32,15851.76,320.45
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,22250,22824,2019,2683,16041.44,16041.25,319.51
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,23547,23720,3197,2771,16262.85,16262.76,328.29
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,24133,24180,3885,2906,16628.18,16628.26,470.21
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,24713,24797,4007,2923,16826.51,16826.51,497.58
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,24672,25222,3973,2945,16894.94,16894.77,529.55
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,23528,24173,3818,2709,17203.71,17203.51,495.3
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,23118,23659,3088,2552,17483.48,17483.49,634.46
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,23606,23982,1467,2699,17221.79,17222.51,557.25
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,26447,26981,404,2764,17014.37,17015.01,563.56
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,28020,28515,139,2913,16826.73,16827.01,642.28
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,29014,30482,100,3118,16535.64,16535.26,584.12
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,29571,30739,75,3373,16274.93,16275,552.27
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,29031,29756,74,3508,15769.52,15770.51,466.04
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,26798,27589,56,3527,15194.49,16299.39,359.8
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,24298,23959,48,3360,14681.08,14681.76,324.6
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,21881,21692,49,3088,14289.64,14289.24,309.97
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,20495,20247,48,3014,14119.56,14119.25,273.95
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,19730,19529,48,2821,13966.28,13965.76,272.23
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,19500,19198,47,2928,14023.02,14023.01,330.15
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,20113,19821,47,3119,14464.79,14464.75,344.41
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,22153,21620,47,3157,15195.3,15195.51,421.66
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,,24379,48,3289,16243.79,16243.51,443.72
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,,27389,73,3102,17084.02,17083.76,460.17
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,30619,809,2838,17377.06,17376.5,430.28
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,32383,32419,1981,2272,17721.6,17722.01,476.56
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,32358,32029,3082,1795,17850.66,17851.5,516.5
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,31357,3817,1413,17973.36,17973.76,588.89
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,31338,3836,1347,17857.49,17857.99,576.35
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,,30874,3701,1345,18009.39,18009.5,644.6
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,,30124,3475,1487,18175.22,18175.26,626.56
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,,29714,2742,1648,18417.01,18417.5,606.02
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,,29801,1281,1857,18334.78,18335,587.87
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,,32257,328,1864,18172.61,18172.25,580.65
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,,33183,161,1813,18061.35,18061.25,575.21
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,33955,34839,124,1731,17734.67,17734.76,569.97
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,33851,34392,86,1816,17169.11,17168.75,493.66
