,onwind,solar,electrolysis,fuel cell,Hydrogen storage
mean,143594.6,25640.5,11911.8,56257.9,9473654.3
std,5634.8,3645.4,1104.4,4228.4,2681196.4
min,129483.2,16280.6,9721.7,49885.1,3290148.5
25%,141183.8,24349.1,11056.5,53238.0,7701911.7
50%,143398.0,25796.2,11910.8,55228.6,9534090.8
55%,143855.3,26144.0,11923.6,56274.2,9577661.4
60%,144414.4,26286.3,12004.3,57147.1,9849560.6
65%,145692.5,27325.1,12458.5,57655.4,10515140.3
70%,146206.2,27483.2,12692.8,58070.6,10769543.6
75%,147278.2,27910.4,12940.5,58092.4,11319735.5
max,156364.3,31150.8,13972.2,65579.8,15637770.2
